Kecamatan,Tahun,Jenis_Kontrasepsi,Jumlah_Peserta,
Pagelaran,2022,Suntikan,4.137,
Donomulyo,2022,Pil,618,
Pagak,2022,Pil,969,
Bantur,2022,Pil,1.238,
Sumbermanjing Wetan,2022,Pil,1.661,
Dampit,2022,Pil,1.726,
Ampelgading,2022,Pil,1.213,
Poncokusumo,2022,Pil,1.985,
Wajak,2022,Pil,1.665,
Turen,2022,Pil,1.146,
Gondanglegi,2022,Pil,1.554,
Kalipare,2022,Pil,1.058,
Sumberpucung,2022,Pil,726,
Kepanjen,2022,Pil,1.791,
Bululawang,2022,Pil,1.291,
Tajinan,2022,Pil,903,
Tumpang,2022,Pil,1.383,
Jabung,2022,Pil,931,
Pakis,2022,Pil,2.068,
Pakisaji,2022,Pil,1.574,
Ngajum,2022,Pil,952,
Wagir,2022,Pil,1.649,
Dau,2022,Pil,750,
Karangploso,2022,Pil,1.474,
Singosari,2022,Pil,2.814,
Lawang,2022,Pil,1.614,
Pujon,2022,Pil,960,
Ngantang,2022,Pil,1.362,
Kasembon,2022,Pil,481,
Gedangan,2022,Pil,764,
Tirtoyudo,2022,Pil,1.142,
Kromengan,2022,Pil,575,
Wonosari,2022,Pil,695,
Pagelaran,2022,Pil,1.515,
Donomulyo,2023,AKDR,647,
Pagak,2023,AKDR,260,
Bantur,2023,AKDR,163,
Sumbermanjing Wetan,2023,AKDR,321,
Dampit,2023,AKDR,816,
Ampelgading,2023,AKDR,486,
Poncokusumo,2023,AKDR,1.213,
Wajak,2023,AKDR,814,
Turen,2023,AKDR,1.601,
Gondanglegi,2023,AKDR,480,
Kalipare,2023,AKDR,280,
Sumberpucung,2023,AKDR,747,
Kepanjen,2023,AKDR,1.383,
Bululawang,2023,AKDR,808,
Tajinan,2023,AKDR,653,
Tumpang,2023,AKDR,1.655,
Jabung,2023,AKDR,650,
Pakis,2023,AKDR,3.105,
Pakisaji,2023,AKDR,972,
Ngajum,2023,AKDR,370,
Wagir,2023,AKDR,1.292,
Dau,2023,AKDR,1.452,
Karangploso,2023,AKDR,2.141,
Singosari,2023,AKDR,2.988,
Lawang,2023,AKDR,2.489,
Pujon,2023,AKDR,1.367,
Ngantang,2023,AKDR,1.390,
Kasembon,2023,AKDR,346,
Gedangan,2023,AKDR,257,
Tirtoyudo,2023,AKDR,484,
Kromengan,2023,AKDR,353,
Wonosari,2023,AKDR,332,
Pagelaran,2023,AKDR,364,
Donomulyo,2023,MOP,5,
Pagak,2023,MOP,1,
Bantur,2023,MOP,5,
Sumbermanjing Wetan,2023,MOP,5,
Dampit,2023,MOP,17,
Ampelgading,2023,MOP,5,
Poncokusumo,2023,MOP,16,
Wajak,2023,MOP,2,
Turen,2023,MOP,7,
Gondanglegi,2023,MOP,7,
Kalipare,2023,MOP,2,
Sumberpucung,2023,MOP,7,
Kepanjen,2023,MOP,16,
Bululawang,2023,MOP,10,
Tajinan,2023,MOP,4,
Tumpang,2023,MOP,35,
Jabung,2023,MOP,21,
Pakis,2023,MOP,21,
Pakisaji,2023,MOP,7,
Ngajum,2023,MOP,7,
Wagir,2023,MOP,36,
Dau,2023,MOP,8,
Karangploso,2023,MOP,14,
Singosari,2023,MOP,16,
Lawang,2023,MOP,29,
Pujon,2023,MOP,10,
Ngantang,2023,MOP,9,
Kasembon,2023,MOP,0,
Gedangan,2023,MOP,1,
Tirtoyudo,2023,MOP,4,
Kromengan,2023,MOP,5,
Wonosari,2023,MOP,5,
Pagelaran,2023,MOP,7,
Donomulyo,2023,MOW,188,
Pagak,2023,MOW,158,
Bantur,2023,MOW,177,
