No,Kecamatan,Unit Kerja (Puskesmas),Tanggal,Tahun,Bulan,Pendek,Sangat Pendek,Stunting,Jumlah Yang Diukur,Prevalensi Stunting,Prevalensi Stunting (persen),Jumlah Rumah Sakit,Jumlah Puskesmas,Jumlah Puskesmas Pembantu,Jumlah Klinik,Jumlah Pondak Bersalin Desa (Polindes),Pos Kesehatan
212,Bululawang,Bululawang,01/01/2022,2022,Agustus,608,183,791,3665,"21,6","0,216",1,1,5,7,18,18
213,Gondanglegi,Gondanglegi,01/01/2022,2022,Agustus,156,53,209,2858,"7,3","0,073",1,2,3,3,14,14
214,Gondanglegi,Ketawang,01/01/2022,2022,Agustus,117,17,134,2237,6,"0,06",1,2,3,2,12,12
215,Pagelaran,Pagelaran,01/01/2022,2022,Agustus,431,6,437,4112,"10,6","0,106",0,1,2,1,0,15
216,Kepanjen,Kepanjen,01/01/2022,2022,Agustus,129,47,176,6289,"2,8","0,028",3,1,3,4,15,15
217,Sumberpucung,Sumberpucung,01/01/2022,2022,Agustus,232,43,275,3229,"8,5","0,085",0,1,1,9,15,15
218,Kromengan,Kromengan,01/01/2022,2022,Agustus,73,12,85,2404,"3,5","0,035",1,1,1,6,12,12
219,Ngajum,Ngajum,01/01/2022,2022,Agustus,322,57,379,2958,"12,8","0,128",0,1,2,0,9,9
220,Wonosari,Wonosari,01/01/2022,2022,Agustus,76,14,90,1382,"6,5","0,065",0,1,2,1,12,12
221,Wagir,Wagir,01/01/2022,2022,Agustus,112,54,166,5158,"3,2","0,032",0,1,3,4,8,10
